,HteamTS,HteamEFG,HteamPPS,HteamFIC,teamFIC40,HteamOrtg,HteamEDiff,HteamPlay,Hwin%,AteamTS,AteamEFG,AteamFIC,teamFIC40,AteamEDiff,Awin%,target
40,0.6063666666666666,0.5624333333333333,1.3785999999999998,83.91666666666667,69.93053333333333,114.9845,-1.8445333333333336,0.4748333333333334,0.6666666666666666,0.4725333333333333,0.4422333333333333,62.66666666666666,52.22220000000001,-7.018833333333332,0.3333333333333333,1
41,0.47465,0.43755,1.02575,60.6875,50.5729,91.14135,-4.114750000000001,0.3678,0.5,0.5813999999999999,0.5598,81.5625,67.96875,20.064950000000003,1.0,0
42,0.55,0.4938,1.321,69.875,58.2292,109.4263,7.1587,0.4157,1.0,0.5005499999999999,0.43965,62.8125,52.34375,-4.1272,0.5,0
43,0.5146,0.4444,1.2102,68.875,57.39585,101.6847,0.7507999999999999,0.3967500000000001,0.5,0.5262666666666667,0.4857666666666667,75.08333333333333,62.56946666666666,1.9239999999999997,0.3333333333333333,1
44,0.5649666666666667,0.5340333333333334,1.2708666666666668,77.625,64.6875,105.7754,5.733,0.44766666666666666,1.0,0.4920666666666666,0.4534333333333334,71.66666666666667,55.7172,2.8466666666666667,0.6666666666666666,1
45,0.4455,0.4063000000000001,0.9651333333333332,52.25,40.1293,89.29446666666666,-8.876166666666666,0.36000000000000004,0.0,0.5177999999999999,0.4790666666666667,63.70833333333334,53.09026666666667,-1.458333333333333,0.6666666666666666,1
46,0.5739666666666666,0.5157666666666666,1.3954333333333333,72.75,60.625,108.9313,5.221333333333333,0.4161,0.6666666666666666,0.5119333333333334,0.4872333333333334,61.25,51.04166666666666,-7.5229,0.3333333333333333,0
47,0.5825,0.5512333333333334,1.2818666666666667,76.95833333333333,64.13193333333334,110.21986666666665,5.8229,0.4399666666666667,0.6666666666666666,0.5179333333333334,0.4811333333333334,71.25,57.14753333333332,1.8755666666666668,0.6666666666666666,1
48,0.4756,0.4541333333333333,1.0443,61.58333333333334,51.31943333333334,98.96116666666668,-8.894366666666668,0.4230666666666667,0.0,0.4754333333333333,0.43133333333333335,54.91666666666666,45.76386666666667,-15.3778,0.0,1
49,0.5530666666666667,0.4988,1.2745333333333333,70.125,58.43746666666666,102.80806666666668,0.8649333333333331,0.4083666666666666,0.3333333333333333,0.5063333333333333,0.4631666666666666,68.04166666666667,56.7014,3.9588,0.3333333333333333,1
50,0.5369333333333333,0.4812333333333334,1.2585666666666666,76.5,63.75,103.37133333333334,9.7776,0.4273333333333333,0.6666666666666666,0.55795,0.5277000000000001,87.0625,72.5521,18.05785,1.0,1
51,0.47915,0.4255,1.07335,67.0,55.83335,98.1173,-13.29445,0.40185,0.5,0.477225,0.44105,64.90625,54.088525,-11.4846,0.25,0
52,0.5457666666666666,0.5053,1.2251333333333332,68.75,57.29166666666666,100.93483333333334,-7.311333333333334,0.4206,0.3333333333333333,0.46405,0.4372,66.8125,55.6771,-7.270049999999999,0.0,1
53,0.5589500000000001,0.527,1.2265,75.6875,63.07295000000001,109.72305,1.3690499999999997,0.4698,0.5,0.4804,0.435,65.0625,51.214975,-4.1305,0.5,1
54,0.61905,0.58025,1.394425,90.15625,75.1302,117.092025,4.8370750000000005,0.481125,0.75,0.5716,0.53115,69.8125,58.1771,-2.85145,0.5,1
55,0.56865,0.54375,1.24015,86.0625,71.71875,103.99005,7.25895,0.4332,1.0,0.5113666666666666,0.4446333333333334,74.79166666666667,62.3264,3.6045666666666665,0.6666666666666666,0
56,0.5095,0.4679666666666667,1.1418666666666668,76.0,61.72826666666666,101.90253333333334,2.3235333333333337,0.409,0.6666666666666666,0.4907,0.4656,69.5625,57.96875,-3.436075,0.25,0
57,0.5221999999999999,0.4730333333333333,1.205733333333333,74.91666666666667,62.43056666666666,106.8508,1.5357333333333332,0.42923333333333336,0.6666666666666666,0.5377666666666666,0.5068333333333334,80.08333333333333,66.73613333333333,9.864533333333334,0.6666666666666666,1
58,0.607075,0.5833,1.326775,84.8125,70.677075,114.53825,10.797775,0.47115,0.75,0.49555,0.447075,62.375,51.979175,-2.039575,0.25,1
59,0.51745,0.482375,1.1561500000000002,72.78125,60.65105,104.612125,-0.8850250000000002,0.436775,0.25,0.579925,0.551125,74.65625,62.213525,0.8562499999999993,0.25,1
60,0.463075,0.4251,1.013975,53.65625,42.154275,92.223875,-6.119825,0.378825,0.25,0.4928,0.4453,59.65625,49.713525,-14.76805,0.0,1
61,0.5862499999999999,0.533775,1.3878,73.625,61.354175,107.732525,2.1116749999999995,0.4204,0.5,0.5599000000000001,0.529825,80.4375,67.03125,10.56525,1.0,1
62,0.515675,0.468275,1.1808,62.71875,52.265625,102.032575,-1.6310499999999997,0.412075,0.5,0.516725,0.49315,65.3125,54.427075,-3.83785,0.5,1
63,0.5182333333333333,0.4700666666666667,1.1535333333333335,68.75,57.29166666666666,100.58033333333331,1.9646,0.4164333333333333,0.6666666666666666,0.4669666666666667,0.4196,60.625,50.52083333333334,-11.043933333333333,0.3333333333333333,0
64,0.501175,0.46435,1.107825,67.875,54.89189999999999,103.505625,-5.023925,0.419325,0.5,0.5909,0.5451,79.625,66.35418,6.404179999999998,0.6,0
65,0.5335749999999999,0.48295,1.238575,79.25,66.041675,104.43205,8.963725,0.43955,0.75,0.56655,0.50755,74.84375,62.369775,5.657375,0.5,0
66,0.5396,0.490075,1.2275,69.9375,56.836675,99.35575,-4.064225,0.405875,0.5,0.461875,0.424825,58.875,49.0625,-4.066725,0.5,0
67,0.5333666666666667,0.5103333333333334,1.1586666666666667,74.54166666666667,62.11806666666667,106.04576666666668,2.0216,0.4588,0.6666666666666666,0.6178,0.58108,89.775,74.8125,10.66108,0.8,0
68,0.4691,0.4458666666666667,1.0084666666666666,64.91666666666667,52.49543333333333,92.6303,-6.739066666666666,0.38106666666666666,0.0,0.5287333333333334,0.5016999999999999,80.91666666666667,67.43056666666666,-1.700466666666666,0.6666666666666666,0
69,0.5089,0.4723250000000001,1.113725,70.125,58.437525,103.388325,3.32345,0.427325,0.5,0.5201333333333333,0.4853666666666666,57.66666666666666,48.05556666666666,-13.22,0.3333333333333333,0
70,0.5313,0.47505,1.213375,79.625,66.354175,106.914425,7.60825,0.4330250000000001,0.75,0.497675,0.4551500000000001,70.90625,57.88475,0.15675000000000014,0.5,1
71,0.5861,0.5537666666666666,1.2821,86.25,71.875,117.2804,21.6774,0.4544666666666666,1.0,0.5953200000000001,0.5690200000000001,83.775,69.8125,9.7243,0.8,1
72,0.57118,0.51152,1.3223799999999999,74.75,62.29166,103.52420000000002,5.7755,0.40918000000000004,0.6,0.51312,0.4658200000000001,61.7,51.41666,-12.255019999999998,0.0,1
73,0.5552,0.51388,1.32318,69.925,58.27081999999999,106.13074,-1.2634400000000006,0.44111999999999996,0.2,0.53284,0.48872,67.9,56.58334,0.7503000000000004,0.6,1
74,0.5229499999999999,0.478125,1.20035,75.0625,62.5521,104.58775,5.22675,0.424325,0.75,0.48100000000000004,0.43976000000000004,65.125,51.86782000000001,-3.96974,0.4,1
75,0.49288000000000004,0.45821999999999996,1.0957199999999998,72.675,60.56248000000001,102.74215999999998,-7.65866,0.42954,0.4,0.51418,0.49104,63.175,52.64581999999999,-5.12542,0.4,1
76,0.4839000000000001,0.44618,1.06728,56.925,45.39008,96.91008000000001,-4.45528,0.39944,0.4,0.5484399999999999,0.5170199999999999,75.15,62.625,3.737359999999999,0.8,0
77,0.4906,0.4431250000000001,1.0898,63.375,52.8125,92.862275,-2.7427749999999995,0.38245,0.5,0.5048333333333334,0.4484333333333333,73.54166666666667,61.28473333333333,-11.411333333333333,0.3333333333333333,1
78,0.4944800000000001,0.47126,1.09036,69.525,57.9375,102.54724000000002,-1.4801399999999998,0.4332800000000001,0.4,0.51844,0.4810800000000001,72.025,60.02084,1.24042,0.4,1
79,0.50634,0.45272,1.13696,63.425,52.85418000000001,103.34898,-2.71774,0.4103,0.2,0.48456000000000005,0.44596,64.175,53.47916,-1.99332,0.6,0
80,0.4864666666666666,0.44483333333333336,1.0712666666666666,64.375,51.64331666666667,96.57486666666668,-3.6761666666666666,0.3891166666666666,0.3333333333333333,0.48155,0.449775,64.125,52.23615,-7.6241249999999985,0.0,1
81,0.52586,0.47563999999999995,1.2075200000000001,74.5,62.08334,102.49792,5.92138,0.4269,0.6,0.5349799999999999,0.48536,74.2,61.83334,4.6230600000000015,0.8,1
82,0.514725,0.46735,1.150975,74.40625,62.005225,107.8881,-10.885375,0.4377,0.25,0.5820666666666667,0.5503166666666667,78.875,65.72916666666667,6.403233333333333,0.6666666666666666,1
83,0.5427500000000001,0.5141,1.19105,78.65625,65.546875,102.47425,1.2944750000000005,0.427075,0.75,0.54324,0.4947,70.725,57.78184,-4.51144,0.4,0
84,0.5044333333333334,0.4660333333333334,1.1224500000000004,69.22916666666667,57.69098333333333,101.15888333333334,-2.3659666666666666,0.4214833333333334,0.3333333333333333,0.5040833333333333,0.4662166666666666,74.04166666666667,61.70136666666667,-6.0437666666666665,0.5,1
85,0.50298,0.46614,1.12626,65.7,53.41351999999999,102.87894,-6.918780000000001,0.41648,0.4,0.5539166666666667,0.5176499999999999,76.70833333333333,63.92361666666667,5.044599999999999,0.8333333333333334,0
86,0.5117166666666667,0.47025,1.1629166666666666,61.91666666666666,51.59723333333333,99.18491666666668,-3.42965,0.4068,0.5,0.4962166666666668,0.4706166666666667,74.125,61.77083333333334,2.1662000000000003,0.5,0
87,0.5010399999999999,0.45753999999999995,1.1159400000000002,67.65,55.41196,98.52384,-1.66152,0.38632,0.4,0.5086166666666666,0.4629000000000001,62.54166666666666,52.11805,-12.230933333333333,0.0,1
88,0.5449166666666667,0.5023,1.2896833333333333,72.35416666666667,60.29513333333333,105.50663333333334,3.0020333333333333,0.4342666666666665,0.3333333333333333,0.4732166666666667,0.4331666666666667,56.77083333333334,45.60285,-5.6428666666666665,0.3333333333333333,1
89,0.5821166666666667,0.5248499999999999,1.3484666666666667,74.95833333333333,62.46526666666667,105.53678333333336,6.831333333333332,0.42015,0.6666666666666666,0.5269333333333334,0.4990333333333334,64.16666666666667,53.47221666666667,-4.609633333333333,0.3333333333333333,1
90,0.51436,0.4609,1.16858,77.575,64.64583999999999,106.3044,7.873519999999999,0.4287800000000001,0.8,0.6101666666666666,0.5730500000000001,85.97916666666669,71.6493,10.0033,0.8333333333333334,1
91,0.58995,0.5462333333333333,1.361,79.41666666666667,66.18056666666666,109.89751666666668,7.753183333333332,0.4507833333333333,0.6666666666666666,0.5264,0.501575,70.65625,58.880225,-0.1624000000000001,0.5,1
92,0.533925,0.50275,1.213375,66.84375,55.703125,107.2875,1.4613500000000013,0.4319,0.5,0.49962,0.46928,64.0,53.33335999999999,-6.4423200000000005,0.4,1
93,0.5023333333333333,0.4532166666666666,1.1225666666666667,61.5625,51.3021,101.67511666666668,-4.1384,0.4007333333333333,0.16666666666666666,0.5081857142857144,0.4708857142857143,69.76785714285714,58.139885714285704,-0.03655714285714292,0.42857142857142855,0
94,0.5032428571428571,0.4601714285714286,1.1377428571428572,62.25,51.875,99.33688571428571,-12.597157142857142,0.4012,0.0,0.5905285714285714,0.5349999999999999,75.64285714285714,63.03570000000001,8.063014285714285,0.7142857142857143,0
95,0.4960666666666666,0.4561,1.0930333333333333,65.83333333333333,54.8611,97.386,0.2125166666666667,0.3936333333333333,0.6666666666666666,0.5267200000000001,0.49423999999999996,74.875,62.39584,0.15608000000000022,0.6,0
96,0.50315,0.4575,1.1250666666666669,68.16666666666667,56.00301666666667,99.01118333333334,1.08115,0.3837333333333333,0.5,0.5877714285714285,0.5490571428571429,82.16071428571429,68.46725714285715,5.772842857142856,0.7142857142857143,0
97,0.51245,0.4764666666666666,1.1426666666666667,68.3125,55.81334999999999,104.42043333333332,-6.280000000000001,0.42315,0.3333333333333333,0.5172800000000001,0.4971,67.175,55.97918000000001,-3.0234799999999997,0.4,0
98,0.5740571428571429,0.5377000000000001,1.2847142857142857,77.14285714285714,63.53605714285714,109.77718571428572,4.922914285714286,0.44091428571428576,0.5714285714285714,0.5186,0.4721166666666667,71.14583333333333,59.2882,2.478933333333333,0.6666666666666666,0
99,0.4933142857142857,0.4554428571428572,1.1043714285714283,70.33928571428571,58.616057142857144,101.31565714285713,-7.171785714285713,0.42248571428571424,0.42857142857142855,0.4865285714285715,0.4609142857142857,76.26785714285714,61.72721428571429,2.6319285714285714,0.5714285714285714,1
100,0.5215166666666666,0.47345,1.1875166666666666,73.79166666666667,61.49306666666666,102.48705,6.3081,0.4265833333333333,0.6666666666666666,0.5447,0.4921166666666667,69.60416666666667,57.04041666666666,-3.026616666666667,0.5,0
101,0.5451714285714286,0.5010857142857142,1.2871,74.08928571428571,61.74107142857143,106.61607142857143,4.615542857142857,0.4357142857142857,0.42857142857142855,0.5704285714285715,0.5324714285714285,77.08928571428571,64.24107142857143,4.764814285714285,0.8571428571428571,0
102,0.4724714285714286,0.4339857142857143,1.0402142857142858,57.23214285714285,46.231014285714295,96.29534285714286,-6.8791142857142855,0.3956428571428572,0.2857142857142857,0.5050428571428571,0.4652,66.94642857142857,54.83405714285714,-6.568557142857144,0.2857142857142857,0
103,0.51928,0.48553999999999997,1.18096,67.05,55.875,104.06584,2.948180000000001,0.41712,0.6,0.5214571428571428,0.4922857142857143,62.875,52.395828571428574,-6.1587000000000005,0.2857142857142857,1
104,0.4871714285714286,0.4482571428571429,1.0771571428571427,64.39285714285714,51.94427142857143,97.20174285714286,-2.5027571428571425,0.3950142857142857,0.42857142857142855,0.5089571428571428,0.4612285714285714,67.08928571428571,53.0662,-4.4124,0.14285714285714285,0
105,0.4841833333333334,0.4523166666666667,1.0529833333333334,61.20833333333334,51.00696666666666,95.8633,-6.851183333333334,0.4054333333333333,0.3333333333333333,0.5686499999999999,0.5314,83.5,69.583325,18.808575,1.0,0
106,0.5059,0.46124,1.13342,72.975,59.75512,106.30323999999999,-7.916499999999999,0.43712,0.4,0.4888,0.4610800000000001,64.875,53.10142000000001,-7.00684,0.0,1
107,0.4997,0.4615285714285714,1.098228571428571,65.92857142857143,54.940471428571435,96.88325714285715,-1.0749857142857144,0.3924571428571429,0.5714285714285714,0.499625,0.4568625000000001,62.109375,51.7578125,-11.29655,0.0,0
108,0.5488285714285713,0.4967714285714286,1.2580000000000002,71.55357142857143,58.8025,102.92571428571428,-1.6393714285714285,0.4240571428571429,0.5714285714285714,0.5228375000000001,0.4832625,74.96875,59.7116875,0.7250624999999999,0.5,1
